description,carb,fat,energy,protein,country,amount_type,queries
"['Egg, whole, fried with oil', 'Grits, instant, made with water, fat added']","[0.37, 21.25]","[8.46, 4.19]","[105.05, 124.32]","[6.44, 2.01]",USA,metric,I’m enjoying 55 grams of a fried egg with oil alongside 148 grams of instant grits for breakfast.
"['Coffee, pre-sweetened with sugar']",[9.82],[0.05],[39.68],[0.25],USA,metric,I’m sipping on 248 grams of sweetened coffee for a quick snack.
"['Tea, hot, leaf, green', 'Cheese, Swiss']","[0, 0.3]","[0, 6.51]","[2.4, 82.53]","[0.53, 5.67]",USA,metric,"At dinner, I have 240 grams of green tea and a piece of Swiss cheese that weighs 21 grams."
"['Soft drink, cola', 'Soup, mostly noodles']","[38.54, 33.93]","[0.93, 9.92]","[156.24, 247.9]","[0, 5.74]",USA,metric,"For breakfast, I'm having a 372-gram cola soft drink along with a 370-gram bowl of noodle soup."
"['Waffle, plain, reduced fat, from frozen', 'Pancake syrup']","[18.48, 13.92]","[2.77, 0.02]","[115.6, 53]","[3.77, 0]",USA,metric,"For breakfast, I'm having a 40.0g reduced-fat plain waffle with 20.0 grams of pancake syrup."
"['Fruit smoothie, with whole fruit and dairy, added protein', 'Pretzels, hard, peanut butter filled']","[52.43, 1.82]","[6.53, 0.57]","[415.8, 13.59]","[39.85, 0.42]",USA,metric,"For my lunch, I've got a 540-gram smoothie made from whole fruit, dairy, and added protein, accompanied by 3 grams of peanut butter-filled hard pretzels."
"['Burrito with beans, meatless', 'Milk, fat free (skim)']","[32.47, 11.93]","[15.01, 0.2]","[326.4, 82.96]","[15.67, 8.37]",USA,metric,I just made myself a meatless burrito weighing 170g and I'm drinking 244g of skim milk for dinner.
"['Egg roll, meatless', 'Water, bottled, unsweetened']","[19.21, 0]","[9.05, 0]","[172.16, 0]","[3.6, 0]",USA,metric,I’m enjoying a 64-gram meatless egg roll along with 240 grams of bottled unsweetened water for lunch.
"['Roll, white, hot dog bun', 'Ketchup']","[22.55, 4.66]","[1.76, 0.02]","[125.55, 17.17]","[4.4, 0.18]",USA,metric,"For dinner, I’m eating a 45-gram white hot dog bun and adding 17 grams of ketchup."
"['Cake, shortcake, sponge type, with whipped cream and fruit']",[55.83],[5.01],[285.56],[4.97],USA,metric,"I’ll enjoy a piece of shortcake with whipped cream and fruit for dinner, weighing 118 grams."
"['Chicken wing, sauteed', 'Potato, mashed, from fresh, made with milk', 'Ketchup', 'Chicken drumstick, sauteed, skin eaten']","[0, 44, 4.66, 0]","[6.44, 10.15, 0.02, 7.11]","[92.75, 282.5, 17.17, 121.8]","[8.1, 5.38, 0.18, 13.62]",USA,metric,"I’m having a lunch that includes 35 grams of sautéed chicken wings, 250 grams of creamy mashed potatoes with milk, 17 grams of ketchup on the side, and a 60-gram sautéed chicken drumstick with its skin."
"['Pizza with pepperoni, stuffed crust', 'Chocolate milk, ready to drink, low fat', 'Orange juice, 100%, canned, bottled or in a carton']","[44.59, 25.17, 14.31]","[24.62, 2.75, 0.15]","[485.44, 158.72, 60.76]","[21.19, 8.58, 0.84]",USA,metric,"For breakfast, I had a stuffed crust pepperoni pizza weighing 164 grams, alongside 248 grams of low-fat chocolate milk, and 124 grams of orange juice."
"['Soft drink, cola, decaffeinated', 'Potato, french fries, fast food', 'Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant', 'Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant']","[39.36, 45.58, 3.02, 1.78]","[0, 16.2, 5.59, 3.22]","[152.52, 343.2, 106, 63.3]","[0, 3.77, 10.89, 6.82]",USA,metric,"For dinner, I had 372 grams of decaffeinated cola soft drink, along with 110 grams of fast food French fries, a 50-gram fried chicken drumstick without the skin, and a 30-gram piece of fried chicken breast, also without the skin."
"['Bread, wheat or cracked wheat', 'Egg omelet or scrambled egg, made with margarine', 'Oatmeal, multigrain, no added fat']","[13.31, 0.4, 29.26]","[1.27, 7.21, 1.1]","[76.72, 94.05, 134.4]","[2.99, 6.45, 5.09]",USA,metric,"I’ve got 28 grams of cracked wheat bread, a 55-gram scrambled egg with margarine, and 240 grams of oatmeal for breakfast."
"['Water, bottled, unsweetened', 'Chicken breast, sauteed, skin not eaten', 'Soft drink, fruit flavored, caffeine free']","[0, 0, 37.72]","[0, 6.54, 0.07]","[0, 211.2, 148.8]","[0, 35.54, 0.19]",USA,metric,"For dinner, I'm having 507 grams of bottled unsweetened water, 120 grams of sautéed chicken breast without the skin, and 372 grams of caffeine-free fruit-flavored soft drink."
"['Banana, raw', 'Nectarine, raw']","[28.78, 12.85]","[0.42, 0.39]","[112.14, 54.6]","[1.37, 1.48]",USA,metric,I grabbed a banana that weighs 126 grams and a 140-gram nectarine for my snack.
"['Apple, raw', 'Potato chips, lightly salted']","[27.62, 14.96]","[0.34, 9.89]","[104, 156.52]","[0.52, 1.88]",USA,metric,I'm enjoying a 200-gram raw apple with 28 grams of lightly salted potato chips as a snack.
"['Water, tap', 'Milk, reduced fat (2%)', 'Water, bottled, unsweetened']","[0, 11.98, 0]","[0, 4.64, 0]","[0, 122, 0]","[0, 8.17, 0]",USA,metric,"I’m enjoying a snack that includes 240 grams of tap water, 244 grams of reduced fat milk, and 507 grams of bottled water."
"['Ice cream, vanilla', 'Water, bottled, unsweetened', 'Potato chips, lightly salted']","[56.64, 0, 14.96]","[26.4, 0, 9.89]","[496.8, 0, 156.52]","[8.4, 0, 1.88]",USA,metric,"I’m having a snack that includes 240 grams of vanilla ice cream, 28 grams of potato chips, and 507 grams of bottled water."
"['Pizza with meat and fruit, thin crust']",[29.08],[13.24],[290.95],[13.78],USA,metric,I'm enjoying a 115-gram thin crust pizza that has meat and fruit for my dinner.
"[""Cereal (Kellogg's Frosted Flakes)""]",[36.57],[0.69],[151.29],[1.62],USA,metric,I'm snacking on 41 grams of Kellogg's Frosted Flakes right now.
"['Turnover, chicken- or turkey-, and vegetable-filled, lower in fat']",[27.83],[7.05],[215.04],[10.07],USA,metric,"For breakfast, I’m having a lower fat turnover with chicken or turkey and vegetables, and it weighs 128 grams."
"['Water, bottled, unsweetened', 'Nutrition bar (Clif Bar)']","[0, 44.5]","[0, 4]","[0, 235.28]","[0, 10]",USA,metric,"For my snack, I have 360 grams of water in a bottle and a Clif Bar that weighs 68 grams."
"['Water, bottled, unsweetened', 'Pizza, cheese, from restaurant or fast food, medium crust']","[0, 26.66]","[0, 7.75]","[0, 212.8]","[0, 9.11]",USA,metric,I’ve got a bottle of unsweetened water weighing 360 grams along with 80 grams of medium crust cheese pizza for my dinner.
"['Egg, cheese, and bacon griddle cake sandwich', 'Chocolate milk, NFS']","[44, 33.38]","[22.16, 0]","[456.96, 166.16]","[20.21, 8.41]",USA,metric,"For breakfast, I'm having a 168.0g griddle cake sandwich with egg, cheese, and bacon, along with some 248.0g chocolate milk."
"['Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy']",[28.68],[16.36],[313.74],[13.77],USA,metric,"For lunch, I'm having 249 grams of chicken or turkey with dumplings and vegetables like carrots and broccoli, all topped with gravy."
"['Tilapia, baked or broiled, made with cooking spray']",[0.45],[5.72],[282.5],[56.95],USA,metric,"For dinner, I'm having 226 grams of baked tilapia made with cooking spray."
"['Peach, canned, juice pack']",[11.64],[0.11],[46.33],[0.51],USA,metric,I'm snacking on 113 grams of canned peaches in juice.
"['Water, bottled, unsweetened', 'Tortilla, corn', 'Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce']","[0, 12.5, 24.25]","[0, 0.8, 8.26]","[0, 61.04, 210.6]","[0, 1.6, 11.29]",USA,metric,"For dinner, I'm having 240 grams of bottled water, a 28-gram corn tortilla, and 162 grams of beef with potatoes and vegetables, but without any carrots, broccoli, or dark-green leafy veggies."
"['Coffee, brewed', 'Water, tap']","[0, 0]","[0.07, 0]","[3.6, 0]","[0.43, 0]",USA,metric,I'm enjoying 360 grams of brewed coffee along with 507 grams of tap water for breakfast.
"['Water, tap', 'Crackers, cheese (Cheez-It)']","[0, 29.71]","[0, 11.37]","[0, 244.5]","[0, 5.46]",USA,metric,I have 50 grams of Cheez-It crackers and 240 grams of tap water for my snack.
"['Muffin, fruit', 'Water, tap']","[37.1, 0]","[11.25, 0]","[262.5, 0]","[3.14, 0]",USA,metric,I grabbed a 70g fruit muffin along with 30g of tap water for a quick snack.
"['Jelly sandwich, regular jelly, on wheat bread', 'Fruit juice drink, with high vitamin C', 'Cheese flavored corn snacks (Cheetos)']","[55.23, 21.11, 14.99]","[2.39, 0.2, 10.08]","[265, 85.56, 156.8]","[6.9, 0.24, 1.64]",USA,metric,"At lunch, I'm having a jelly sandwich on wheat bread that weighs 100 grams, a 186-gram fruit juice drink rich in vitamin C, and 28 grams of Cheetos for a crunchy snack."
"['Pizza with extra meat and extra vegetables, thick crust', 'Water, bottled, unsweetened']","[45.64, 0]","[17.25, 0]","[413.47, 0]","[19, 0]",USA,metric,"I have a thick crust pizza with extra meat and veggies for lunch, totaling 173 grams, and I'm also having 240 grams of bottled water."
"['Cheese flavored corn snacks (Cheetos)', 'Watermelon, raw']","[30.51, 16.46]","[20.53, 0.33]","[319.2, 65.4]","[3.33, 1.33]",USA,metric,"For a snack, I'm having 57 grams of Cheetos and 218 grams of raw watermelon."
"['Potato chips, baked, plain', 'Ice cream bar, vanilla', 'Water, bottled, unsweetened', 'Apple, raw']","[19.99, 27.84, 0, 22.79]","[5.1, 18.95, 0, 0.28]","[131.32, 268.5, 0, 85.8]","[1.4, 1.58, 0, 0.43]",USA,metric,"For a snack, I'm having 28 grams of plain baked potato chips, a 75-gram vanilla ice cream bar, 240 grams of bottled water, and a raw apple that weighs 165 grams."
"[""Cereal (Kellogg's Frosted Flakes)"", 'Milk, whole', 'Cheese, American']","[36.57, 11.39, 1.86]","[0.69, 7.81, 4.84]","[151.29, 146.4, 64.47]","[1.62, 8, 3.38]",USA,metric,"I started my day with a bowl of 41 grams of Frosted Flakes, poured 244 grams of whole milk over it, and added 21 grams of American cheese on the side."
"['Apricots, baby food, strained']",[16.14],[0],[59.4],[0.3],USA,metric,I’m having a serving of 99 grams of baby food apricots for breakfast.
"['Pizza, cheese, from school lunch, medium crust', 'Orange juice, 100%, canned, bottled or in a carton', 'Chewing gum, regular']","[50.49, 14.31, 3.87]","[14.6, 0.15, 0.01]","[425, 60.76, 14.4]","[23.24, 0.84, 0]",USA,metric,"I’ve got 170 grams of school lunch cheese pizza, a can of 100% orange juice weighing 124 grams, and I’m chewing on 4 grams of regular gum."
"['Soft drink, fruit flavored, caffeine free', 'Fruit juice drink, with high vitamin C']","[75.44, 42.22]","[0.15, 0.41]","[297.6, 171.12]","[0.37, 0.48]",USA,metric,I'm enjoying a snack with a 744-gram serving of fruit-flavored soft drink and a 372-gram fruit juice drink packed with vitamin C.
"['Coffee, bottled/canned', 'Cheese, Mozzarella, part skim', 'Burrito with meat']","[42.97, 1.26, 39.02]","[4.71, 5.78, 39.1]","[242.11, 84.48, 653.4]","[6.75, 6.72, 35.15]",USA,metric,"I had a 341g bottle of coffee for breakfast, paired with 28.35g of mozzarella cheese and a 270g burrito loaded with meat."
"['Apple, raw', 'Pizza, cheese, from school lunch, thin crust', 'Milk, reduced fat (2%)']","[33.42, 44.46, 11.98]","[0.41, 11.23, 4.64]","[125.84, 350.74, 122]","[0.63, 18.06, 8.17]",USA,metric,"For breakfast, I'm having a raw apple (242.0g), a slice of thin crust cheese pizza from school lunch (142.0g), and a glass of reduced fat milk (244.0g)."
"['Apple juice, 100%', 'Water, bottled, unsweetened']","[14.01, 0]","[0.16, 0]","[57.04, 0]","[0.12, 0]",USA,metric,I enjoyed a snack with 240 grams of bottled water and 124 grams of apple juice.
"['Biscuit, NFS', 'Milk, whole', 'Jam, preserve, marmalade, sweetened with fruit juice concentrates, all flavors']","[19.27, 11.39, 7.41]","[8.51, 7.81, 0]","[166.5, 146.4, 29.68]","[3.19, 8, 0]",USA,metric,"This morning, I'm enjoying a biscuit, 45 grams, along with 244 grams of whole milk and a bit of 14 grams of sweetened jam."
"['Yogurt, low fat milk, fruit', 'Crackers, wheat, plain (Wheat Thins)']","[9.25, 31.56]","[0.88, 6.87]","[56.96, 198.45]","[2.98, 4.02]",USA,metric,"For a snack, I'm having 64 grams of low-fat yogurt with fruit and 45 grams of plain Wheat Thins crackers."
"['Water, tap', 'Potato chips, plain']","[0, 15.07]","[0, 9.51]","[0, 148.96]","[0, 1.79]",USA,metric,"For lunch, I'm having 720 grams of tap water with 28 grams of plain potato chips."
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Coffee, brewed']","[27.95, 0]","[0.3, 0.1]","[116.56, 4.8]","[1.69, 0.58]",USA,metric,"I’m having a nice breakfast with 248 grams of orange juice that has calcium added, plus 480 grams of brewed coffee."
"['Soft drink, fruit flavored, caffeine free', 'Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on wheat bread', 'Egg, whole, boiled or poached']","[37.72, 15.6, 0.36]","[0.07, 11.64, 4.76]","[148.8, 210.8, 71.5]","[0.19, 10.33, 6.28]",USA,metric,"For dinner, I'm having a chicken and turkey hot dog on wheat bread (85.0g), a boiled egg (50.0g), and a fruit-flavored caffeine-free soft drink (372.0g)."
['Pork sausage'],[0.5],[9.54],[113.75],[6.49],USA,metric,"For this morning's meal, I've got 35 grams of pork sausage."
"['Soft drink, fruit flavored, caffeine free', 'Garlic bread, from fast food / restaurant', 'Pizza with meat other than pepperoni, from restaurant or fast food, medium crust']","[75.44, 30.81, 42.26]","[0.15, 12.27, 17.04]","[297.6, 258.26, 386.4]","[0.37, 6.17, 15.87]",USA,metric,"For lunch, I drank a 744-gram fruit-flavored soft drink, ate 74 grams of garlic bread, and enjoyed a 138-gram medium crust pizza with meat toppings."
"['Pasta, cooked', 'Potato salad with egg, made with light mayonnaise-type salad dressing']","[42.95, 41.58]","[1.29, 12.26]","[219.8, 305.25]","[8.06, 7.48]",USA,metric,I'm enjoying 140 grams of cooked pasta and 275 grams of potato salad with egg mixed with light mayonnaise for my lunch.
"['Water, bottled, unsweetened', 'Coffee, brewed, decaffeinated']","[0, 0]","[0, 0]","[0, 0]","[0, 0.36]",USA,metric,"For a quick snack, I have 507 grams of bottled water and 360 grams of brewed decaf coffee."
"['Turnover or dumpling, apple', 'Apple juice, 100%']","[35.71, 14.01]","[14.83, 0.16]","[285.36, 57.04]","[2.98, 0.12]",USA,metric,"For breakfast, I’m eating an 82-gram apple dumpling along with a glass of apple juice that’s 124 grams."
