description,carb,fat,energy,protein,country,amount_type,queries
"['Banana, raw', 'Water, tap', 'Egg, cheese, and sausage on biscuit']","[28.78, 0, 27.61]","[0.42, 0, 28.33]","[112.14, 0, 414.72]","[1.37, 0, 12.21]",USA,metric,"For breakfast, I'm having a raw banana (126.0g), a glass of tap water (720.0g), and an egg, cheese, and sausage sandwich on a biscuit (128.0g)."
['Breakfast tart'],[38.79],[4.87],[207.9],[2.17],USA,metric,"For breakfast, I've got a 54g Breakfast Tart."
"['Hamburger, on white bun, 1 small patty', 'Ketchup']","[25.55, 4.66]","[15.9, 0.02]","[330.05, 17.17]","[19.67, 0.18]",USA,metric,I’ve got a 115-gram hamburger with a small patty on a white bun and 17 grams of ketchup.
"['Soft drink, ginger ale']",[32.59],[0],[126.48],[0],USA,metric,I'm enjoying 372 grams of ginger ale for a quick snack.
"['Milk, reduced fat (2%)']",[11.98],[4.64],[122],[8.17],USA,metric,"For my snack, I'm drinking 244 grams of 2% milk."
"['Macaroni or noodles with cheese, Easy Mac type', 'Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw']","[43.22, 0]","[4, 5.67]","[236.5, 124.6]","[7.01, 17.23]",USA,metric,"For my snack, I'm eating 215 grams of Easy Mac and 70 grams of broiled chicken thigh."
"['Milk, reduced fat (2%)', 'Chicken breast, baked or broiled, skin not eaten, from pre-cooked', 'Water, tap', 'Potato, mashed, from school lunch']","[11.98, 0, 0, 33]","[4.64, 3.75, 0, 4.72]","[122, 151.2, 0, 192.5]","[8.17, 29.44, 0, 5.35]",USA,metric,"For lunch, I'm having 244 grams of reduced fat milk, a 105-gram baked chicken breast, 240 grams of tap water, and 250 grams of mashed potatoes from school lunch."
"['Waffle, chocolate, from frozen', 'Pancake syrup']","[19.58, 13.92]","[4.2, 0.02]","[128, 53]","[2.97, 0]",USA,metric,"For my morning meal, I have a 40-gram chocolate waffle drizzled with 20 grams of syrup."
"['Applesauce, regular', 'Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread']","[43.72, 24.19]","[0.42, 9.37]","[170, 201.04]","[0.4, 7.03]",USA,metric,"For lunch, I'm having 250 grams of regular applesauce and a peanut butter and jelly sandwich made with regular peanut butter and jelly on wheat bread that weighs 56 grams."
"['Water, tap']",[0],[0],[0],[0],USA,metric,I’m refreshing myself with 240 grams of tap water for a snack.
"['Grapes, raw', 'Freezer pop']","[27.15, 9.62]","[0.24, 0.12]","[103.5, 39.5]","[1.08, 0]",USA,metric,"For a snack, I'm having 150 grams of raw grapes and a 50-gram freezer pop."
"['Potato chips, ruffled, plain']",[30.68],[19.37],[303.24],[3.64],USA,metric,"For breakfast, I'm enjoying a serving of 57 grams of plain ruffled potato chips."
"['Apple, raw', 'Fruit juice drink']","[27.62, 12.4]","[0.34, 0]","[104, 49.6]","[0.52, 0]",USA,metric,I have a snack of 200 grams of raw apple paired with a 496-gram fruit juice drink.
"['Soft drink, fruit flavored, caffeine containing']",[67.23],[0],[256.76],[0],USA,metric,I'm having a 524-gram serving of fruit-flavored soft drink with caffeine for a snack.
"['Water, bottled, unsweetened', 'Nutrition bar (Clif Bar)']","[0, 44.5]","[0, 4]","[0, 235.28]","[0, 10]",USA,metric,"For my snack, I have 360 grams of water in a bottle and a Clif Bar that weighs 68 grams."
"['Potato chips, baked, plain']",[19.99],[5.1],[131.32],[1.4],USA,metric,"I grabbed 28 grams of baked potato chips, plain, for a quick snack."
"['Orange, raw']",[18.1],[0.18],[72.38],[1.45],USA,metric,"For a snack, I have a 154-gram orange."
"['Potato chips, plain']",[15.07],[9.51],[148.96],[1.79],USA,metric,I'm snacking on 28 grams of plain potato chips.
['Frozen fruit juice bar'],[20.32],[0.05],[84],[0.65],USA,metric,"For my snack, I'm going with an 80g frozen fruit juice bar."
"['Water, tap', 'Beef steak, breaded or floured, baked or fried, lean and fat eaten']","[0, 16.29]","[0, 18.06]","[0, 359.12]","[0, 32.68]",USA,metric,I'm having a dinner of 240 grams of tap water and a 134-gram serving of beef steak that’s baked or fried.
"['Croissant', 'Coffee, brewed']","[33.43, 0]","[15.33, 0.05]","[296.38, 2.4]","[5.99, 0.29]",USA,metric,I have a croissant that weighs 73 grams and a cup of brewed coffee that’s 240 grams for breakfast.
"['Water, tap', 'Soup, mostly noodles']","[0, 33.93]","[0, 9.92]","[0, 247.9]","[0, 5.74]",USA,metric,Lunch today is 240 grams of tap water and a hearty 370 grams of mostly noodle soup.
"['Soup, mostly noodles']",[33.93],[9.92],[247.9],[5.74],USA,metric,"For my snack, I’m enjoying a bowl of noodle soup that’s 370 grams."
"['Water, baby, bottled, unsweetened']",[0],[0],[0],[0],USA,metric,"For my snack, I’m having some bottled baby water, which is 240 grams."
"['Peanut butter sandwich, with regular peanut butter, on white bread', 'Milk, whole']","[36.65, 11.39]","[18.5, 7.81]","[353.28, 146.4]","[12.86, 8]",USA,metric,"For lunch, I'm having a peanut butter sandwich (92.0g) made with regular peanut butter on white bread, along with a glass of whole milk (244.0g)."
"['Freezer pop', 'Fruit leather and fruit snacks candy']","[9.62, 21.92]","[0.12, 0.74]","[39.5, 94.9]","[0, 0.14]",USA,metric,I'm enjoying a 50-gram freezer pop and 26 grams of fruit snacks as a quick snack.
"['Cereal or granola bar (Kashi Chewy)', 'Coffee, brewed']","[49.47, 0]","[6, 0.07]","[304.2, 3.6]","[13, 0.43]",USA,metric,"For breakfast, I made myself a 78-gram Kashi Chewy granola bar and brewed 360 grams of coffee."
"['Beef sausage', 'Soft drink, cola, diet', 'Croissant']","[0.34, 1.04, 12.82]","[2.87, 0.11, 5.88]","[32.8, 7.2, 113.68]","[1.33, 0.4, 2.3]",USA,metric,"For dinner, I've got 10 grams of beef sausage, a diet cola that weighs 360 grams, and a croissant that weighs 28 grams."
"['Coffee creamer, liquid, fat free, flavored', 'Coffee, brewed']","[9.52, 0]","[0.81, 0.1]","[45, 4.8]","[0.18, 0.58]",USA,metric,"For my snack, I prepared 480 grams of brewed coffee and added 30 grams of fat-free flavored coffee creamer."
"['Milk, whole']",[11.39],[7.81],[146.4],[8],USA,metric,I'm having 244 grams of whole milk for a snack.
"['Potato chips, ruffled, other flavored']",[31.87],[17.7],[277.59],[3.71],USA,metric,Just grabbing 57 grams of ruffled potato chips for a snack.
"['Ice cream, vanilla']",[28.32],[13.2],[248.4],[4.2],USA,metric,"For a snack, I’m enjoying 120 grams of vanilla ice cream."
"['Apple, raw', 'Yogurt, Greek, nonfat milk, plain', 'Peanut butter']","[22.79, 8.92, 3.57]","[0.28, 0.91, 8.18]","[85.8, 149.45, 95.52]","[0.43, 25.24, 3.6]",USA,metric,"For my breakfast, I've got a 165g apple, some plain Greek yogurt that weighs 245g, and 16g of peanut butter."
"['Tortilla chips, cool ranch flavor (Doritos)']",[18.88],[5.76],[131.6],[1.98],USA,metric,"I’m having some Cool Ranch Doritos tortilla chips, about 28 grams for my snack."
"['Carbonated water, sweetened, with low-calorie or no-calorie sweetener']",[0],[0],[0],[0.51],USA,metric,I'm sipping on 507 grams of sweetened carbonated water as a quick snack.
"['Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion', 'Soft drink, cola']","[84.43, 38.54]","[46.43, 0.93]","[936, 156.24]","[50.87, 0]",USA,metric,"For breakfast, I'm having a large frozen meal with 468.0g of fried chicken, potatoes, and vegetables, along with a 372.0g soft drink cola."
"['Banana, raw', 'Water, bottled, unsweetened', 'Orange, raw']","[28.78, 0, 18.1]","[0.42, 0, 0.18]","[112.14, 0, 72.38]","[1.37, 0, 1.45]",USA,metric,"For breakfast, I've got a 126-gram banana, a bottle of unsweetened water that weighs 507 grams, and a 154-gram raw orange."
"['Soft drink, fruit flavored, caffeine containing, diet']",[0],[0],[0],[0.36],USA,metric,I’ve got 360 grams of a diet fruit-flavored soft drink for my snack.
"['Cookie, sugar or plain, sugar free', 'Milk, whole']","[15.16, 11.39]","[9.31, 7.81]","[156.9, 146.4]","[3.1, 8]",USA,metric,I’m having a quick snack of 30 grams of sugar-free cookie and 244 grams of whole milk.
"['Muffin, fruit', 'Orange juice, 100%, canned, bottled or in a carton']","[68.9, 14.31]","[20.89, 0.15]","[487.5, 60.76]","[5.84, 0.84]",USA,metric,"For breakfast, I'm having a fruit muffin that weighs 130 grams along with 124 grams of 100% orange juice from a carton."
"['Nutritional drink or shake, high protein, light, ready-to-drink, NFS']",[58.96],[18.35],[470.58],[18.35],USA,metric,I have a 341g high protein nutritional drink for lunch.
"['Coffee, instant, reconstituted']",[1.51],[0],[7.2],[0.24],USA,metric,I made a snack with 240 grams of reconstituted instant coffee.
"['Kiwi fruit, raw']",[10.5],[0.33],[43.5],[0.8],USA,metric,I’ve got 75 grams of raw kiwi fruit for my snack.
"['Candy, NFS']",[9.8],[0.02],[39.4],[0],USA,metric,I grabbed 10 grams of candy for a quick snack.
"['Coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted', 'Bread, whole wheat, toasted']","[12.67, 15.63]","[1.74, 1.29]","[64.48, 92.07]","[0.37, 4.46]",USA,metric,"This morning, I'm sipping on 248 grams of sweetened instant coffee and eating 33 grams of toasted whole wheat bread."
"['Muffin, English, with fruit other than raisins', 'Margarine, tub']","[27.63, 0.12]","[1.04, 8.37]","[140.94, 74.62]","[5.4, 0.02]",USA,metric,I have a 58-gram English muffin with 14 grams of margarine for my snack.
"['Gordita/sope shell, plain, no filling', 'Banana, raw', 'Egg, whole, cooked, NS as to cooking method', 'Water, bottled, unsweetened']","[17.23, 28.78, 0.34, 0]","[7.61, 0.42, 6.72, 0]","[142.41, 112.14, 87.5, 0]","[1.96, 1.37, 6, 0]",USA,metric,"For breakfast, I'm having a plain gordita shell (47.0g) with no filling, a raw banana (126.0g), a cooked whole egg (50.0g), and some bottled water (507.0g)."
"['Rice, white, cooked, NS as to fat']",[45.62],[0.46],[210.27],[4.35],USA,metric,I cooked up 163 grams of white rice for my lunch.
"['Frankfurter or hot dog, beef', 'Ketchup']","[1.73, 4.66]","[16.8, 0.02]","[188.67, 17.17]","[7.02, 0.18]",USA,metric,"Dinner tonight is a 57g hot dog made of beef, topped with 17g of ketchup."
"['Cookie, brownie, without icing']",[19.17],[4.89],[121.5],[1.44],USA,metric,I’m snacking on a 30g brownie cookie.
"['Sports drink (Gatorade G)', 'Water, bottled, unsweetened']","[1.99, 0]","[0, 0]","[8.06, 0]","[0, 0]",USA,metric,I’m enjoying a light snack with 31 grams of Gatorade and 240 grams of bottled water.
"['Cream, half and half', 'Coffee, brewed']","[0.64, 0]","[1.72, 0.1]","[19.65, 4.8]","[0.47, 0.58]",USA,metric,I prepared 480 grams of brewed coffee and added 15 grams of half-and-half for breakfast.
"['Ice cream cone, soft serve, vanilla, waffle cone', 'Double cheeseburger (McDonalds)']","[83.31, 29.65]","[12.16, 26.7]","[492.15, 465.3]","[12.65, 26.8]",USA,metric,"For dinner, I'm having a double cheeseburger from McDonald's (165.0g) and a soft serve vanilla ice cream cone in a waffle cone (255.0g)."
"['Yogurt, nonfat milk, fruit']",[16.97],[0.19],[93.79],[5.75],USA,metric,"For breakfast, I'm having 113 grams of nonfat yogurt with some fruit."
"['Soft drink, cream soda']",[49.48],[0],[189.72],[0],USA,metric,I’m starting my day with a 372-gram cream soda.
"['Milk, reduced fat (2%)', 'Breakfast tart']","[11.98, 38.79]","[4.64, 4.87]","[122, 207.9]","[8.17, 2.17]",USA,metric,I have 244 grams of reduced fat milk and 54 grams of a breakfast tart for breakfast.
"['Milk, reduced fat (2%)', 'Muffin, fruit, low fat', 'Orange juice, 100%, with calcium added, canned, bottled or in a carton']","[11.98, 65.06, 13.97]","[4.64, 5.49, 0.15]","[122, 331.5, 58.28]","[8.17, 5.5, 0.84]",USA,metric,"For breakfast, I'm having 244 grams of reduced fat milk, a 130-gram low-fat fruit muffin, and 124 grams of 100% orange juice with added calcium."
"['Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bun', 'Water, bottled, unsweetened', 'Ketchup']","[24.84, 0, 4.66]","[12.14, 0, 0.02]","[259.08, 0, 17.17]","[11.73, 0, 0.18]",USA,metric,"For dinner, I'm having a 102.0g chicken and turkey hot dog on a white bun with 17.0g of ketchup on top, along with a bottle of 360.0g of unsweetened water."
"['Water, bottled, unsweetened', 'Potato chips, ruffled, sour cream and onion flavored']","[0, 15.66]","[0, 8.7]","[0, 136.36]","[0, 1.82]",USA,metric,"For my snack, I’ve got 360 grams of unsweetened bottled water and 28 grams of sour cream and onion chips."
"['Applesauce, unsweetened']",[12.74],[0.11],[47.46],[0.19],USA,metric,I’ve got 113 grams of unsweetened applesauce for breakfast.
"['Hamburger, from school cafeteria']",[23.55],[6.63],[221.4],[16.17],USA,metric,"For lunch, I’ve got a hamburger weighing 90 grams from the school cafeteria."
"['Snack mix, plain (Chex Mix)']",[21.19],[2.8],[119.84],[2.47],USA,metric,"For my snack, I'm munching on 28 grams of plain Chex Mix."
"['Pear, raw']",[27.41],[0.25],[102.6],[0.65],USA,metric,I have a 180-gram raw pear as my snack.
"['Almonds, salted']",[5.72],[15.15],[170.38],[5.71],USA,metric,"I’ve got a serving of salted almonds, weighing 28.35 grams, for lunch."
"['Pudding, chocolate, ready-to-eat, sugar free']",[11.56],[2.22],[81.4],[3.84],USA,metric,"For my snack, I’m having 110 grams of chocolate pudding, and it’s sugar-free and ready to eat."
"['Quarter Pounder with cheese (McDonalds)', 'Water, bottled, unsweetened']","[39.44, 0]","[28.8, 0]","[538, 0]","[30.42, 0]",USA,metric,"For lunch, I ate a 200g Quarter Pounder with cheese and drank 507g of bottled water."
"['Popsicle', 'Soup, mostly noodles', 'Chicken thigh, stewed, skin not eaten']","[9.62, 21.37, 0]","[0.12, 6.24, 5.99]","[39.5, 156.11, 122.5]","[0, 3.61, 17.05]",USA,metric,"I’ve got a popsicle that weighs 50g, along with 233g of mostly noodle soup and 70g of stewed chicken thigh for dinner."
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Beef steak, battered, fried, NS as to fat eaten']","[13.97, 13.35]","[0.15, 15.8]","[58.28, 309.54]","[0.84, 28.41]",USA,metric,"This morning, I had a breakfast that included 124 grams of orange juice and 134 grams of battered beef steak."
"[""Milk 'n Cereal bar""]",[28.82],[4.39],[165.2],[2.59],USA,metric,I enjoyed a 40g Milk 'n Cereal bar as my breakfast.
"['Popsicle', 'Doughnut, yeast type']","[9.62, 28.76]","[0.12, 13.62]","[39.5, 252.6]","[0, 3.68]",USA,metric,"For a snack, I had a 50g Popsicle and a 60g yeast doughnut."
"['Graham crackers', 'Apple juice, 100%']","[11.65, 14.01]","[1.59, 0.16]","[64.5, 57.04]","[1, 0.12]",USA,metric,I have 15 grams of graham crackers to go with 124 grams of apple juice for my snack.
"['Biscuit, home recipe', 'Tea, hot, chai, with milk']","[19.98, 21.53]","[6.96, 2.35]","[154.35, 120]","[3.03, 3.79]",USA,metric,"For breakfast, I'm having a homemade biscuit that weighs about 45 grams along with a cup of hot chai tea with milk, which is around 240 grams."
"['Soft drink, cola', 'Cheese, Monterey']","[77.08, 0.14]","[1.86, 6.36]","[312.48, 78.33]","[0, 5.14]",USA,metric,Lunch today includes a 744-gram cola and 21 grams of Monterey cheese.
"['Applesauce, regular']",[15.74],[0.15],[61.2],[0.14],USA,metric,I'm snacking on 90 grams of applesauce right now.
"['Apple, raw', 'Peanuts, honey roasted']","[22.79, 43.83]","[0.28, 66.06]","[85.8, 835.12]","[0.43, 30.22]",USA,metric,Snacking on 165 grams of a raw apple and 146 grams of honey roasted peanuts right now.
"['Roll, sweet, cinnamon bun, frosted', 'Soft drink, pepper type']","[32.08, 38.54]","[17.56, 0.93]","[298.32, 156.24]","[2.94, 0]",USA,metric,"For a snack, I'm having a 66-gram frosted cinnamon bun and a 372-gram pepper soft drink."
"['Soft drink, cola', 'Cheese, Mozzarella, part skim', 'Apple, raw']","[38.54, 1.26, 27.62]","[0.93, 5.78, 0.34]","[156.24, 84.48, 104]","[0, 6.72, 0.52]",USA,metric,"For my snack, I have a 372-gram soft drink, a bit of mozzarella cheese weighing 28.35 grams, and a 200-gram fresh apple."
"['Popcorn, ready-to-eat packaged, plain']",[17.15],[6.51],[134.96],[2.85],USA,metric,I’ve got 28 grams of ready-to-eat plain popcorn as my snack.
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton']",[27.95],[0.3],[116.56],[1.69],USA,metric,"For a snack, I'm drinking 248 grams of orange juice that has calcium added."
"['Cheeseburger, on white bun, 1 medium patty', 'Ketchup']","[30.72, 4.66]","[26.75, 0.02]","[490.05, 17.17]","[29.57, 0.18]",USA,metric,"I'm eating a cheeseburger that weighs 165 grams, topped with 17 grams of ketchup for dinner."
"['Clementine, raw', 'Roll, sweet, cinnamon bun, frosted']","[11.34, 43.74]","[0.26, 23.95]","[45.05, 406.8]","[0.69, 4]",USA,metric,"For my snack, there's an 85g clementine paired with a 90g frosted cinnamon bun."
"['Water, tap', 'Coffee, macchiato, sweetened']","[0, 4.28]","[0, 0.47]","[0, 23.56]","[0, 0.7]",USA,metric,"For a snack, I'm having 240 grams of tap water and 62 grams of sweetened macchiato coffee."
"['Orange, raw', 'Orange juice, 100%, with calcium added, canned, bottled or in a carton']","[18.1, 27.95]","[0.18, 0.3]","[72.38, 116.56]","[1.45, 1.69]",USA,metric,"This morning, I enjoyed a raw orange that weighed 154 grams along with 248 grams of orange juice with added calcium."
"['Pork chop, breaded or floured, fried, lean only eaten', 'Kidney beans and brown rice']","[13.01, 38.91]","[8.97, 7.77]","[216.8, 261.8]","[20, 10.06]",USA,metric,"I'm enjoying a lean fried pork chop weighing 80 grams, served with 170 grams of kidney beans and brown rice for dinner."
"['Orange, raw', 'Apple, raw']","[18.1, 27.62]","[0.18, 0.34]","[72.38, 104]","[1.45, 0.52]",USA,metric,I’m enjoying a 154g orange and a 200g apple as a quick snack.
"['Banana, raw']",[28.78],[0.42],[112.14],[1.37],USA,metric,"For breakfast, I plan to eat a raw banana that weighs 126 grams."
"['Egg omelet or scrambled egg, made with margarine']",[0.4],[7.21],[94.05],[6.45],USA,metric,"For breakfast, I had a 55-gram egg that I scrambled with margarine."
['Beer'],[42.6],[0],[516],[5.52],USA,metric,"For a snack, I'm having 1200 grams of beer."
"['Doughnut, cake type, with icing', 'Milk, whole']","[38.42, 11.39]","[17.39, 7.81]","[323.25, 146.4]","[3.19, 8]",USA,metric,"This morning, I had a 75-gram iced doughnut and 244 grams of whole milk for breakfast."
"['Pretzels, hard, plain, salted']",[8.04],[0.29],[38.4],[1],USA,metric,I have 10 grams of salted hard pretzels as my lunch today.
"['Tea, iced, bottled, green', 'Egg, whole, fried, from fast food / restaurant', 'Pork sausage', 'Jelly, all flavors', 'Cheese, Cheddar', 'Croissant']","[23.06, 0.37, 0.5, 13.99, 0.51, 19.24]","[0.82, 8.46, 9.54, 0, 7.14, 8.82]","[100.44, 105.05, 113.75, 53.2, 85.68, 170.52]","[0, 6.44, 6.49, 0.03, 4.89, 3.44]",USA,metric,"I’ve got a breakfast spread that includes 372 grams of iced green tea, a 55-gram fried egg, a 35-gram pork sausage, 20 grams of jelly, 21 grams of cheddar cheese, and a 42-gram croissant."
"['Soft drink, pepper type']",[64.23],[1.55],[260.4],[0],USA,metric,I’m having a 620g soft drink of the pepper type for a snack.
"['Tortilla chips, nacho cheese flavor (Doritos)']",[34.66],[15.63],[295.83],[4.2],USA,metric,I’ve got a serving of 57 grams of nacho cheese Doritos chips for dinner.
"['Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce', 'Rice, cooked, NFS']","[4.86, 44.22]","[10.9, 0.44]","[187.92, 203.82]","[18.48, 4.22]",USA,metric,"I’ve got a dinner plate with 162 grams of beef and veggies, including carrots and broccoli, plus 158 grams of cooked rice."
['Cheese flavored corn snacks (Cheetos)'],[14.99],[10.08],[156.8],[1.64],USA,metric,I’m having 28 grams of Cheetos cheese-flavored corn snacks for a snack.
['Sports drink (Gatorade G)'],[39.87],[0],[161.2],[0],USA,metric,I’m enjoying a 620-gram serving of Gatorade G sports drink as a snack.
['Soft taco with chicken and beans'],[30.23],[9.91],[258.44],[12.52],USA,metric,"I have a soft taco with chicken and beans, and it weighs 142 grams, for lunch."
['Fajita with meat and vegetables'],[33.88],[16.31],[379.5],[23.83],USA,metric,"Lunch today is a fajita with meat and vegetables, weighing 230 grams."
"['Pasta, whole grain, with cream sauce, poultry, and added vegetables, restaurant']",[38.08],[31.1],[475],[14.98],USA,metric,"I ordered 250 grams of whole grain pasta with cream sauce, poultry, and veggies for dinner."
"['Coffee, Latte, flavored', 'Tea, hot, herbal', 'Pudding, chocolate, ready-to-eat']","[37.2, 0.96, 25.31]","[7.79, 0, 5.06]","[267.84, 4.8, 156.2]","[13.44, 0, 2.3]",USA,metric,"I just made myself a snack with 496 grams of flavored latte, 480 grams of hot herbal tea, and 110 grams of chocolate pudding."
"['Bread, white, toasted', 'Water, bottled, unsweetened', 'Avocado, raw']","[13.52, 0, 12.8]","[0.98, 0, 21.99]","[74.25, 0, 240]","[2.59, 0, 3]",USA,metric,"I started my day with a slice of toasted white bread weighing 25 grams, paired with 150 grams of raw avocado, and I’m drinking 240 grams of bottled water."
"['Tea, iced, bottled, green']",[32.49],[1.15],[141.48],[0],USA,metric,I have a 524-gram bottle of iced green tea to enjoy as a snack.
"['Water, bottled, unsweetened', 'Carrots, raw']","[0, 11.5]","[0, 0.29]","[0, 49.2]","[0, 1.12]",USA,metric,I'm enjoying 600 grams of unsweetened bottled water along with 120 grams of raw carrots for lunch.
"['Pasta with cream sauce and seafood, home recipe', 'Pasta with cream sauce and poultry, home recipe']","[42.12, 41.45]","[16.32, 17.55]","[377.5, 390]","[14.88, 16.08]",USA,metric,"Tonight’s dinner is 250 grams of pasta with cream sauce and seafood, plus 250 grams of pasta with cream sauce and poultry."
"['Pancakes and sausage, frozen meal', 'Syrup, NFS']","[47.07, 13.92]","[23.34, 0.02]","[459, 53]","[15.06, 0]",USA,metric,"I’ve got 170 grams of pancakes and sausage from a frozen meal, topped with 20 grams of syrup for lunch."
"['Cookie, chocolate chip']",[6.86],[2.6],[51.66],[0.54],USA,metric,I'm enjoying a chocolate chip cookie that’s 10.5 grams as a snack.
"['MILKY WAY Bar', 'Popcorn, microwave, butter flavored']","[6.05, 47.59]","[1.46, 26.41]","[38.76, 457.3]","[0.34, 7.39]",USA,metric,"For a snack, I ate an 8.5g Milky Way Bar and 85g of butter-flavored popcorn."
"['Nutritional drink or shake, ready-to-drink (Ensure)']",[42.54],[6.38],[264.6],[9.58],USA,metric,I’m having a 252-gram nutritional drink from Ensure for breakfast.
"['Frankfurter or hot dog sandwich, beef, plain, on white bun', 'Soft drink, cola']","[24.29, 64.23]","[18.56, 1.55]","[314.16, 260.4]","[11.41, 0]",USA,metric,"For lunch, I'm having a plain beef hot dog sandwich (102.0g) on a white bun with a cola (620.0g) to drink."
